"","state","county","primary_city","longitude","latitude","estimated_population","name","Value","Category.Range"
"3124","NY","New York","New York",-73.99,40.71,377,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3125","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3126","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3127","NY","New York","New York",-73.99,40.71,1023,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3128","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3129","NY","New York","New York",-73.99,40.71,391,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3130","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3131","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3132","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3133","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3134","NY","New York","New York",-73.99,40.71,445,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3135","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3136","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3137","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3138","NY","New York","New York",-73.99,40.71,47627,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3139","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3140","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3141","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3142","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3143","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3144","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3145","NY","New York","New York",-73.98,40.76,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3146","NY","New York","New York",-73.99,40.71,905,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3147","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3148","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3149","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3150","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3151","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3152","NY","New York","New York",-73.99,40.71,319,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3153","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3154","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3155","NY","New York","New York",-73.99,40.71,450,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3156","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3157","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3158","NY","New York","New York",-73.99,40.71,1243,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3159","NY","New York","New York",-73.99,40.71,1807,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3160","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3161","NY","New York","New York",-73.99,40.71,444,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3162","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3163","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3164","NY","New York","New York",-73.99,40.71,427,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3165","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3166","NY","New York","New York",-73.99,40.71,504,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3167","NY","Kings","Brooklyn",-73.94,40.64,54898,"new york,kings",442.1,"427.3 - 473.8 (643)"
"3168","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3169","NY","New York","New York",-73.99,40.71,602,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3170","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3171","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3172","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3173","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3174","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3175","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3176","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3177","NY","New York","New York",-74,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3178","NY","New York","New York",-73.99,40.71,894,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3179","NY","New York","New York",-74,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3180","NY","New York","New York",-74,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3181","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3182","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3183","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3184","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3185","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3186","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3187","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3188","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3189","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3190","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3191","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3192","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3193","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3194","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3195","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3196","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3197","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3198","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3199","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3200","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3201","NY","New York","New York",-73.99,40.71,947,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3202","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3203","NY","New York","New York",-73.99,40.71,415,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3204","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
