County,State,Value,Category Range
Irion,TX,442.8,427.3 - 473.8 (643)
Racine,WI,442.8,427.3 - 473.8 (643)
Rutherford,TN,442.9,427.3 - 473.8 (643)
Sumner,TN,442.9,427.3 - 473.8 (643)
Cumberland,TN,442.9,427.3 - 473.8 (643)
Yoakum,TX,443,427.3 - 473.8 (643)
Hancock,IA,443.1,427.3 - 473.8 (643)
Burke,NC,443.3,427.3 - 473.8 (643)
Pitt,NC,443.4,427.3 - 473.8 (643)
Jones,GA,443.5,427.3 - 473.8 (643)
Abbeville,SC,443.5,427.3 - 473.8 (643)
Clermont,OH,443.7,427.3 - 473.8 (643)
Indiana,PA,443.8,427.3 - 473.8 (643)
Lancaster,VA,444.1,427.3 - 473.8 (643)
McCone,MT,444.1,427.3 - 473.8 (643)
Lawrence,IN,444.2,427.3 - 473.8 (643)
Pierce,WA,444.2,427.3 - 473.8 (643)
Mercer,IL,444.3,427.3 - 473.8 (643)
De Witt,IL,444.3,427.3 - 473.8 (643)
Petroleum,MT,444.3,427.3 - 473.8 (643)
Livingston,MI,444.3,427.3 - 473.8 (643)
Henry,OH,444.3,427.3 - 473.8 (643)
Dickinson,KS,444.7,427.3 - 473.8 (643)
Ionia,MI,444.8,427.3 - 473.8 (643)
Lebanon,PA,444.8,427.3 - 473.8 (643)
Wayne,WV,444.9,427.3 - 473.8 (643)
Northumberland,VA,444.9,427.3 - 473.8 (643)
Big Horn,MT,444.9,427.3 - 473.8 (643)
Athens,OH,444.9,427.3 - 473.8 (643)
O'Brien,IA,444.9,427.3 - 473.8 (643)
Harris,GA,445,427.3 - 473.8 (643)
Surry,NC,445,427.3 - 473.8 (643)
Mariposa,CA,445.2,427.3 - 473.8 (643)
Nelson,KY,445.3,427.3 - 473.8 (643)
Pender,NC,445.3,427.3 - 473.8 (643)
Brazoria,TX,445.5,427.3 - 473.8 (643)
Buena Vista,VA,445.6,427.3 - 473.8 (643)
Nelson,VA,445.8,427.3 - 473.8 (643)
Franklin,IL,445.8,427.3 - 473.8 (643)
Warren,VA,445.9,427.3 - 473.8 (643)
Victoria,TX,445.9,427.3 - 473.8 (643)
Winnebago,IL,446,427.3 - 473.8 (643)
Erie,NY,446,427.3 - 473.8 (643)
Schenectady,NY,446.1,427.3 - 473.8 (643)
Richland,SC,446.1,427.3 - 473.8 (643)
Wayne,OH,446.2,427.3 - 473.8 (643)
Warren,MO,446.2,427.3 - 473.8 (643)
Prince George's,MD,446.3,427.3 - 473.8 (643)
Cumberland,IL,446.3,427.3 - 473.8 (643)
Grundy,IA,446.3,427.3 - 473.8 (643)
Florence,WI,446.3,427.3 - 473.8 (643)
Waynesboro,VA,446.4,427.3 - 473.8 (643)
Mitchell,KS,446.4,427.3 - 473.8 (643)
Lee,IL,446.7,427.3 - 473.8 (643)
Dinwiddie,VA,446.7,427.3 - 473.8 (643)
Franklin,IA,446.8,427.3 - 473.8 (643)
Kosciusko,IN,446.8,427.3 - 473.8 (643)
Butler,OH,447,427.3 - 473.8 (643)
Davidson,NC,447,427.3 - 473.8 (643)
Holt,NE,447.1,427.3 - 473.8 (643)
Fairfield,OH,447.2,427.3 - 473.8 (643)
Putnam,IN,447.2,427.3 - 473.8 (643)
Motley,TX,447.2,427.3 - 473.8 (643)
Dearborn,IN,447.4,427.3 - 473.8 (643)
Jefferson,LA,447.4,427.3 - 473.8 (643)
Columbia,PA,447.5,427.3 - 473.8 (643)
Edgefield,SC,447.8,427.3 - 473.8 (643)
St. Louis County,MO,447.8,427.3 - 473.8 (643)
Henderson,IL,447.8,427.3 - 473.8 (643)
Seward,KS,447.8,427.3 - 473.8 (643)
Allamakee,IA,447.9,427.3 - 473.8 (643)
Gasconade,MO,447.9,427.3 - 473.8 (643)
Love,OK,448,427.3 - 473.8 (643)
King William,VA,448,427.3 - 473.8 (643)
Defiance,OH,448.1,427.3 - 473.8 (643)
Bremer,IA,448.1,427.3 - 473.8 (643)
Jackson,IN,448.2,427.3 - 473.8 (643)
West Baton Rouge,LA,448.2,427.3 - 473.8 (643)
Noble,IN,448.3,427.3 - 473.8 (643)
Canyon,ID,448.3,427.3 - 473.8 (643)
Kiowa,CO,448.4,427.3 - 473.8 (643)
Monongalia,WV,448.5,427.3 - 473.8 (643)
Elk,PA,448.8,427.3 - 473.8 (643)
Turner,SD,448.8,427.3 - 473.8 (643)
Greenbrier,WV,448.9,427.3 - 473.8 (643)
Newport News,VA,448.9,427.3 - 473.8 (643)
Carroll,MD,448.9,427.3 - 473.8 (643)
Glynn,GA,449,427.3 - 473.8 (643)
Mason,IL,449,427.3 - 473.8 (643)
Oceana,MI,449.2,427.3 - 473.8 (643)
Hertford,NC,449.5,427.3 - 473.8 (643)
Butler,IA,449.5,427.3 - 473.8 (643)
York,NE,449.7,427.3 - 473.8 (643)
Randall,TX,449.7,427.3 - 473.8 (643)
McDowell,NC,449.8,427.3 - 473.8 (643)
Williams,OH,449.8,427.3 - 473.8 (643)
Stark,IL,449.8,427.3 - 473.8 (643)
Henry,KY,449.9,427.3 - 473.8 (643)
Austin,TX,449.9,427.3 - 473.8 (643)
Payette,ID,450.1,427.3 - 473.8 (643)
Hancock,OH,450.1,427.3 - 473.8 (643)
Crawford,MI,450.1,427.3 - 473.8 (643)
St. Lawrence,NY,450.5,427.3 - 473.8 (643)
Elliott,KY,450.5,427.3 - 473.8 (643)
Union,IA,450.5,427.3 - 473.8 (643)
Canadian,OK,450.6,427.3 - 473.8 (643)
Orangeburg,SC,450.6,427.3 - 473.8 (643)
Coke,TX,450.6,427.3 - 473.8 (643)
Richmond County,VA,450.7,427.3 - 473.8 (643)
Armstrong,PA,450.7,427.3 - 473.8 (643)
Ouachita,LA,450.7,427.3 - 473.8 (643)
Page,VA,450.9,427.3 - 473.8 (643)
Cowley,KS,451,427.3 - 473.8 (643)
Elkhart,IN,451.1,427.3 - 473.8 (643)
Clearfield,PA,451.2,427.3 - 473.8 (643)
Warren,IN,451.3,427.3 - 473.8 (643)
Berks,PA,451.3,427.3 - 473.8 (643)
Lafourche,LA,451.4,427.3 - 473.8 (643)
Tripp,SD,451.4,427.3 - 473.8 (643)
Wilson,NC,451.5,427.3 - 473.8 (643)
Greene,GA,451.5,427.3 - 473.8 (643)
Jefferson,PA,451.6,427.3 - 473.8 (643)
Daniels,MT,451.7,427.3 - 473.8 (643)
Allegheny,PA,451.8,427.3 - 473.8 (643)
Randolph,IL,451.8,427.3 - 473.8 (643)
Horry,SC,451.8,427.3 - 473.8 (643)
Greenwood,SC,451.8,427.3 - 473.8 (643)
Thayer,NE,451.9,427.3 - 473.8 (643)
Montcalm,MI,452,427.3 - 473.8 (643)
Anderson,SC,452,427.3 - 473.8 (643)
Schleicher,TX,452.1,427.3 - 473.8 (643)
Richmond City,VA,452.3,427.3 - 473.8 (643)
Herkimer,NY,452.3,427.3 - 473.8 (643)
Wright,IA,452.3,427.3 - 473.8 (643)
DeKalb,IN,452.4,427.3 - 473.8 (643)
Newberry,SC,452.4,427.3 - 473.8 (643)
Big Horn,WY,452.5,427.3 - 473.8 (643)
Cass,IA,452.5,427.3 - 473.8 (643)
Rock Island,IL,452.5,427.3 - 473.8 (643)
Kent,DE,452.6,427.3 - 473.8 (643)
Stokes,NC,452.6,427.3 - 473.8 (643)
Malheur,OR,452.7,427.3 - 473.8 (643)
Calhoun,IA,452.7,427.3 - 473.8 (643)
Lyon,KS,452.7,427.3 - 473.8 (643)
Sweetwater,WY,452.7,427.3 - 473.8 (643)
Clarion,PA,452.7,427.3 - 473.8 (643)
Clinton,PA,452.8,427.3 - 473.8 (643)
Warren,IA,452.8,427.3 - 473.8 (643)
Deaf Smith,TX,452.9,427.3 - 473.8 (643)
Inyo,CA,453.2,427.3 - 473.8 (643)
Champaign,OH,453.2,427.3 - 473.8 (643)
Cameron,PA,453.3,427.3 - 473.8 (643)
Coös,NH,453.3,427.3 - 473.8 (643)
Live Oak,TX,453.3,427.3 - 473.8 (643)
Worth,MO,453.4,427.3 - 473.8 (643)
Paulding,GA,453.4,427.3 - 473.8 (643)
Lincoln,GA,453.5,427.3 - 473.8 (643)
Oconee,SC,453.6,427.3 - 473.8 (643)
Hardy,WV,453.8,427.3 - 473.8 (643)
Camden,NJ,453.8,427.3 - 473.8 (643)
Onslow,NC,453.8,427.3 - 473.8 (643)
Phillips,MT,453.9,427.3 - 473.8 (643)
Washington,KY,453.9,427.3 - 473.8 (643)
Amherst,VA,453.9,427.3 - 473.8 (643)
Plaquemines,LA,454,427.3 - 473.8 (643)
Stark,OH,454,427.3 - 473.8 (643)
Bailey,TX,454.1,427.3 - 473.8 (643)
Oneida,NY,454.2,427.3 - 473.8 (643)
Rockingham,NC,454.3,427.3 - 473.8 (643)
Allen,IN,454.3,427.3 - 473.8 (643)
Wyoming,NY,454.4,427.3 - 473.8 (643)
Deer Lodge,MT,454.4,427.3 - 473.8 (643)
Gaines,TX,454.4,427.3 - 473.8 (643)
Val Verde,TX,454.6,427.3 - 473.8 (643)
Atascosa,TX,454.6,427.3 - 473.8 (643)
Aransas,TX,454.7,427.3 - 473.8 (643)
Whitley,IN,454.7,427.3 - 473.8 (643)
Warrick,IN,454.9,427.3 - 473.8 (643)
Bent,CO,454.9,427.3 - 473.8 (643)
Pike,IL,455,427.3 - 473.8 (643)
Johnson,TN,455,427.3 - 473.8 (643)
White,IN,455.1,427.3 - 473.8 (643)
McKenzie,ND,455.1,427.3 - 473.8 (643)
Lake,OH,455.2,427.3 - 473.8 (643)
Logan,OK,455.3,427.3 - 473.8 (643)
Cottle,TX,455.4,427.3 - 473.8 (643)
Hockley,TX,455.7,427.3 - 473.8 (643)
Summit,OH,455.7,427.3 - 473.8 (643)
Henry,IA,455.7,427.3 - 473.8 (643)
Chase,KS,455.7,427.3 - 473.8 (643)
Marshall,IL,455.8,427.3 - 473.8 (643)
Butte,CA,455.9,427.3 - 473.8 (643)
Hendry,FL,455.9,427.3 - 473.8 (643)
Wakulla,FL,455.9,427.3 - 473.8 (643)
Eddy,ND,456,427.3 - 473.8 (643)
Cherokee,NC,456,427.3 - 473.8 (643)
Paulding,OH,456.1,427.3 - 473.8 (643)
Van Wert,OH,456.1,427.3 - 473.8 (643)
Adams,IL,456.1,427.3 - 473.8 (643)
Fayette,IA,456.1,427.3 - 473.8 (643)
Cerro Gordo,IA,456.2,427.3 - 473.8 (643)
Clinton,IN,456.3,427.3 - 473.8 (643)
Madison,IN,456.6,427.3 - 473.8 (643)
Franklin,OH,456.6,427.3 - 473.8 (643)
Vilas,WI,456.7,427.3 - 473.8 (643)
Essex,VA,456.8,427.3 - 473.8 (643)
Henderson,KY,456.8,427.3 - 473.8 (643)
Marion,IA,456.9,427.3 - 473.8 (643)
Lawrence,IL,456.9,427.3 - 473.8 (643)
Chatham,GA,456.9,427.3 - 473.8 (643)
Pendleton,KY,457,427.3 - 473.8 (643)
Morton,ND,457,427.3 - 473.8 (643)
Quay,NM,457,427.3 - 473.8 (643)
Mason,MI,457.1,427.3 - 473.8 (643)
Fulton,IL,457.1,427.3 - 473.8 (643)
Putnam,GA,457.2,427.3 - 473.8 (643)
Cumberland,NC,457.2,427.3 - 473.8 (643)
Monroe,TN,457.2,427.3 - 473.8 (643)
Forest,PA,457.3,427.3 - 473.8 (643)
Curry,NM,457.3,427.3 - 473.8 (643)
Henry,VA,457.4,427.3 - 473.8 (643)
Lavaca,TX,457.5,427.3 - 473.8 (643)
Hanson,SD,457.6,427.3 - 473.8 (643)
Coos,OR,457.9,427.3 - 473.8 (643)
Blaine,MT,457.9,427.3 - 473.8 (643)
Gentry,MO,457.9,427.3 - 473.8 (643)
Duval,FL,458,427.3 - 473.8 (643)
Lewis,NY,458.1,427.3 - 473.8 (643)
Orleans,NY,458.1,427.3 - 473.8 (643)
Beaver,UT,458.3,427.3 - 473.8 (643)
Ford,IL,458.6,427.3 - 473.8 (643)
Parmer,TX,458.7,427.3 - 473.8 (643)
Carbon,PA,458.8,427.3 - 473.8 (643)
Hill,MT,458.8,427.3 - 473.8 (643)
Mitchell,NC,459,427.3 - 473.8 (643)
LaGrange,IN,459,427.3 - 473.8 (643)
Dawson,TX,459.1,427.3 - 473.8 (643)
Waushara,WI,459.2,427.3 - 473.8 (643)
Whiteside,IL,459.2,427.3 - 473.8 (643)
Bradford,FL,459.2,427.3 - 473.8 (643)
Bonneville,ID,459.2,427.3 - 473.8 (643)
Liberty,GA,459.5,427.3 - 473.8 (643)
Marshall,IN,459.5,427.3 - 473.8 (643)
Holmes,OH,459.5,427.3 - 473.8 (643)
Yakima,WA,459.6,427.3 - 473.8 (643)
Currituck,NC,459.7,427.3 - 473.8 (643)
Oakland,MI,459.8,427.3 - 473.8 (643)
Milam,TX,459.8,427.3 - 473.8 (643)
Venango,PA,459.9,427.3 - 473.8 (643)
Sullivan,PA,459.9,427.3 - 473.8 (643)
Shoshone,ID,459.9,427.3 - 473.8 (643)
Breckinridge,KY,459.9,427.3 - 473.8 (643)
Jefferson,ID,460,427.3 - 473.8 (643)
Wells,IN,460,427.3 - 473.8 (643)
Newton,GA,460,427.3 - 473.8 (643)
Jones,NC,460,427.3 - 473.8 (643)
Henry,GA,460.1,427.3 - 473.8 (643)
Dixie,FL,460.1,427.3 - 473.8 (643)
Refugio,TX,460.1,427.3 - 473.8 (643)
Piute,UT,460.1,427.3 - 473.8 (643)
Cochran,TX,460.2,427.3 - 473.8 (643)
Grant,WV,460.2,427.3 - 473.8 (643)
North Slope,AK,460.5,427.3 - 473.8 (643)
Caribou,ID,460.6,427.3 - 473.8 (643)
Doniphan,KS,460.6,427.3 - 473.8 (643)
Brule,SD,460.6,427.3 - 473.8 (643)
Jay,IN,460.8,427.3 - 473.8 (643)
Madison,NC,460.9,427.3 - 473.8 (643)
Jackson,IA,461,427.3 - 473.8 (643)
Wabash,IL,461,427.3 - 473.8 (643)
Calhoun,TX,461.1,427.3 - 473.8 (643)
Henry,IL,461.2,427.3 - 473.8 (643)
Saline,AR,461.2,427.3 - 473.8 (643)
Baltimore County,MD,461.3,427.3 - 473.8 (643)
Box Elder,UT,461.5,427.3 - 473.8 (643)
Gilmer,GA,461.6,427.3 - 473.8 (643)
Jasper,IL,461.6,427.3 - 473.8 (643)
Benton,IN,461.8,427.3 - 473.8 (643)
Sierra,CA,461.8,427.3 - 473.8 (643)
Kenosha,WI,461.8,427.3 - 473.8 (643)
Toole,MT,461.9,427.3 - 473.8 (643)
Beaufort,NC,461.9,427.3 - 473.8 (643)
Ralls,MO,462,427.3 - 473.8 (643)
Schuyler,MO,462.1,427.3 - 473.8 (643)
Fergus,MT,462.2,427.3 - 473.8 (643)
Clinton,IA,462.2,427.3 - 473.8 (643)
Dallam,TX,462.2,427.3 - 473.8 (643)
Grimes,TX,462.4,427.3 - 473.8 (643)
Baraga,MI,462.4,427.3 - 473.8 (643)
Hyde,NC,462.4,427.3 - 473.8 (643)
Saline,MO,462.5,427.3 - 473.8 (643)
Jefferson,IA,462.5,427.3 - 473.8 (643)
Medina,TX,462.7,427.3 - 473.8 (643)
King and Queen,VA,462.7,427.3 - 473.8 (643)
Monroe,MI,462.9,427.3 - 473.8 (643)
Bottineau,ND,463,427.3 - 473.8 (643)
Scotland,MO,463.1,427.3 - 473.8 (643)
Oswego,NY,463.2,427.3 - 473.8 (643)
Randolph,WV,463.3,427.3 - 473.8 (643)
Maury,TN,463.3,427.3 - 473.8 (643)
Muskingum,OH,463.4,427.3 - 473.8 (643)
Hamilton,OH,463.5,427.3 - 473.8 (643)
Southampton,VA,463.5,427.3 - 473.8 (643)
Martin,TX,463.6,427.3 - 473.8 (643)
Marshall,OK,463.6,427.3 - 473.8 (643)
Floyd,IN,463.6,427.3 - 473.8 (643)
Jefferson,FL,463.7,427.3 - 473.8 (643)
Real,TX,463.7,427.3 - 473.8 (643)
Jefferson,NY,463.8,427.3 - 473.8 (643)
Bureau,IL,463.9,427.3 - 473.8 (643)
Reeves,TX,463.9,427.3 - 473.8 (643)
Wayne,PA,464,427.3 - 473.8 (643)
Galveston,TX,464.1,427.3 - 473.8 (643)
Fresno,CA,464.1,427.3 - 473.8 (643)
Dawes,NE,464.1,427.3 - 473.8 (643)
Morris,KS,464.2,427.3 - 473.8 (643)
San Patricio,TX,464.4,427.3 - 473.8 (643)
La Salle,TX,464.5,427.3 - 473.8 (643)
Franklin,FL,464.5,427.3 - 473.8 (643)
Franklin,KY,464.6,427.3 - 473.8 (643)
Houghton,MI,464.8,427.3 - 473.8 (643)
Ocean,NJ,464.8,427.3 - 473.8 (643)
Middlesex,VA,464.8,427.3 - 473.8 (643)
Castro,TX,465,427.3 - 473.8 (643)
Lee,IA,465,427.3 - 473.8 (643)
Echols,GA,465,427.3 - 473.8 (643)
Comanche,KS,465.2,427.3 - 473.8 (643)
Otsego,MI,465.2,427.3 - 473.8 (643)
Siskiyou,CA,465.3,427.3 - 473.8 (643)
Carroll,IL,465.4,427.3 - 473.8 (643)
Putnam,IL,465.4,427.3 - 473.8 (643)
Duplin,NC,465.4,427.3 - 473.8 (643)
Ashland,WI,465.6,427.3 - 473.8 (643)
Calhoun,WV,465.8,427.3 - 473.8 (643)
Gaston,NC,465.9,427.3 - 473.8 (643)
Tuscarawas,OH,465.9,427.3 - 473.8 (643)
Columbia,FL,465.9,427.3 - 473.8 (643)
Humboldt,NV,466,427.3 - 473.8 (643)
Monroe,MO,466,427.3 - 473.8 (643)
Cabell,WV,466.1,427.3 - 473.8 (643)
Borden,TX,466.2,427.3 - 473.8 (643)
Marion,IN,466.3,427.3 - 473.8 (643)
DeKalb,MO,466.4,427.3 - 473.8 (643)
Pope,IL,466.5,427.3 - 473.8 (643)
Knox,IL,466.5,427.3 - 473.8 (643)
Swisher,TX,466.5,427.3 - 473.8 (643)
Lexington,VA,466.5,427.3 - 473.8 (643)
Stonewall,TX,466.6,427.3 - 473.8 (643)
Hart,GA,466.6,427.3 - 473.8 (643)
McLennan,TX,466.7,427.3 - 473.8 (643)
Taylor,IA,466.8,427.3 - 473.8 (643)
Pawnee,KS,466.8,427.3 - 473.8 (643)
Marion,KY,466.8,427.3 - 473.8 (643)
Benton,MO,466.9,427.3 - 473.8 (643)
Somerset,PA,466.9,427.3 - 473.8 (643)
Schuyler,NY,467,427.3 - 473.8 (643)
Greenwood,KS,467.1,427.3 - 473.8 (643)
Richland,IL,467.2,427.3 - 473.8 (643)
Cambria,PA,467.3,427.3 - 473.8 (643)
Storey,NV,467.4,427.3 - 473.8 (643)
Roosevelt,NM,467.4,427.3 - 473.8 (643)
Gibson,IN,467.5,427.3 - 473.8 (643)
Mercer,KY,467.5,427.3 - 473.8 (643)
Hamilton,TX,467.6,427.3 - 473.8 (643)
Delaware,NY,467.7,427.3 - 473.8 (643)
Union,IN,467.9,427.3 - 473.8 (643)
Milwaukee,WI,467.9,427.3 - 473.8 (643)
Ellis,TX,468,427.3 - 473.8 (643)
LaSalle,IL,468.1,427.3 - 473.8 (643)
Lincoln,MO,468.1,427.3 - 473.8 (643)
Carroll,OH,468.2,427.3 - 473.8 (643)
Morgan,IN,468.2,427.3 - 473.8 (643)
Harrisonburg,VA,468.2,427.3 - 473.8 (643)
Salem,VA,468.3,427.3 - 473.8 (643)
Fulton,PA,468.3,427.3 - 473.8 (643)
Sevier,TN,468.3,427.3 - 473.8 (643)
Pike,IN,468.6,427.3 - 473.8 (643)
Rice,KS,468.7,427.3 - 473.8 (643)
Reagan,TX,468.7,427.3 - 473.8 (643)
Hampton,VA,468.7,427.3 - 473.8 (643)
Lewis,WA,469.1,427.3 - 473.8 (643)
Goliad,TX,469.1,427.3 - 473.8 (643)
Brooks,TX,469.1,427.3 - 473.8 (643)
St. Joseph,IN,469.1,427.3 - 473.8 (643)
Clarke,GA,469.2,427.3 - 473.8 (643)
Volusia,FL,469.3,427.3 - 473.8 (643)
Ohio,WV,469.3,427.3 - 473.8 (643)
Linn,KS,469.4,427.3 - 473.8 (643)
Wheatland,MT,469.4,427.3 - 473.8 (643)
Blair,PA,469.5,427.3 - 473.8 (643)
Swain,NC,469.5,427.3 - 473.8 (643)
Valley,MT,469.7,427.3 - 473.8 (643)
Orleans,LA,469.7,427.3 - 473.8 (643)
Fulton,NY,469.8,427.3 - 473.8 (643)
Baldwin,AL,470,427.3 - 473.8 (643)
Clay,SD,470,427.3 - 473.8 (643)
Randolph,NC,470.2,427.3 - 473.8 (643)
St. Charles,LA,470.3,427.3 - 473.8 (643)
Amelia,VA,470.3,427.3 - 473.8 (643)
Daviess,KY,470.5,427.3 - 473.8 (643)
Tehama,CA,470.6,427.3 - 473.8 (643)
Beaver,PA,470.7,427.3 - 473.8 (643)
Glenn,CA,470.9,427.3 - 473.8 (643)
Bryan,GA,470.9,427.3 - 473.8 (643)
Grundy,MO,471,427.3 - 473.8 (643)
Tucker,WV,471,427.3 - 473.8 (643)
Ross,OH,471.1,427.3 - 473.8 (643)
Greene,IL,471.1,427.3 - 473.8 (643)
Iron,WI,471.3,427.3 - 473.8 (643)
Carbon,UT,471.3,427.3 - 473.8 (643)
Morgan,KY,471.4,427.3 - 473.8 (643)
Clarke,IA,471.5,427.3 - 473.8 (643)
Worth,GA,471.5,427.3 - 473.8 (643)
Erie,OH,471.6,427.3 - 473.8 (643)
Page,IA,471.7,427.3 - 473.8 (643)
Preston,WV,471.7,427.3 - 473.8 (643)
Knox,OH,471.8,427.3 - 473.8 (643)
Washington,MD,472,427.3 - 473.8 (643)
Washington,TN,472,427.3 - 473.8 (643)
Radford,VA,472.1,427.3 - 473.8 (643)
Martin,IN,472.1,427.3 - 473.8 (643)
Whitfield,GA,472.1,427.3 - 473.8 (643)
Crisp,GA,472.2,427.3 - 473.8 (643)
Bronx,NY,472.2,427.3 - 473.8 (643)
Ellsworth,KS,472.3,427.3 - 473.8 (643)
Coles,IL,472.4,427.3 - 473.8 (643)
Orange,IN,472.6,427.3 - 473.8 (643)
Franklin,KS,472.8,427.3 - 473.8 (643)
Eureka,NV,472.8,427.3 - 473.8 (643)
Greene,MO,472.9,427.3 - 473.8 (643)
Modoc,CA,472.9,427.3 - 473.8 (643)
Van Buren,AR,472.9,427.3 - 473.8 (643)
Waupaca,WI,472.9,427.3 - 473.8 (643)
Runnels,TX,472.9,427.3 - 473.8 (643)
Loup,NE,473,427.3 - 473.8 (643)
King,TX,473.1,427.3 - 473.8 (643)
Kent,TX,473.4,427.3 - 473.8 (643)
Lamar,MS,473.4,427.3 - 473.8 (643)
Crane,TX,473.6,427.3 - 473.8 (643)
Pleasants,WV,473.6,427.3 - 473.8 (643)
De Baca,NM,473.8,427.3 - 473.8 (643)
Luna,NM,473.8,427.3 - 473.8 (643)
Camden,NC,474,473.9 - 541.2 (647)
Gloucester,NJ,474.3,473.9 - 541.2 (647)
Huntington,IN,474.4,473.9 - 541.2 (647)
Daviess,IN,474.4,473.9 - 541.2 (647)
Gregory,SD,474.5,473.9 - 541.2 (647)
Northumberland,PA,474.6,473.9 - 541.2 (647)
DeWitt,TX,474.6,473.9 - 541.2 (647)
Greene,IA,474.6,473.9 - 541.2 (647)
Trego,KS,474.6,473.9 - 541.2 (647)
Phelps,MO,474.6,473.9 - 541.2 (647)
Spartanburg,SC,474.9,473.9 - 541.2 (647)
Hickman,TN,475.1,473.9 - 541.2 (647)
Maries,MO,475.1,473.9 - 541.2 (647)
Morgan,GA,475.2,473.9 - 541.2 (647)
Mitchell,IA,475.3,473.9 - 541.2 (647)
Northampton,NC,475.3,473.9 - 541.2 (647)
Marshall,WV,475.3,473.9 - 541.2 (647)
Patrick,VA,475.4,473.9 - 541.2 (647)
Dubois,IN,475.4,473.9 - 541.2 (647)
Lee,GA,475.4,473.9 - 541.2 (647)
Jasper,GA,475.5,473.9 - 541.2 (647)
Bingham,ID,475.7,473.9 - 541.2 (647)
Floyd,IA,475.7,473.9 - 541.2 (647)
Franklin,MO,475.7,473.9 - 541.2 (647)
Chariton,MO,475.8,473.9 - 541.2 (647)
Humboldt,IA,475.8,473.9 - 541.2 (647)
Crawford,PA,475.8,473.9 - 541.2 (647)
Caldwell,NC,476,473.9 - 541.2 (647)
Adair,MO,476.1,473.9 - 541.2 (647)
Montgomery,IA,476.1,473.9 - 541.2 (647)
Izard,AR,476.1,473.9 - 541.2 (647)
Marion,FL,476.2,473.9 - 541.2 (647)
Escambia,FL,476.2,473.9 - 541.2 (647)
McDonough,IL,476.2,473.9 - 541.2 (647)
Mahaska,IA,476.3,473.9 - 541.2 (647)
Hocking,OH,476.3,473.9 - 541.2 (647)
Greenup,KY,476.4,473.9 - 541.2 (647)
Davis,IA,476.6,473.9 - 541.2 (647)
Fulton,OH,476.6,473.9 - 541.2 (647)
Warren,IL,476.7,473.9 - 541.2 (647)
Terrell,GA,476.7,473.9 - 541.2 (647)
Morrow,OH,476.8,473.9 - 541.2 (647)
Nacogdoches,TX,476.8,473.9 - 541.2 (647)
Lander,NV,476.9,473.9 - 541.2 (647)
Washington,IL,477.1,473.9 - 541.2 (647)
Montgomery,NY,477.2,473.9 - 541.2 (647)
Rowan,NC,477.4,473.9 - 541.2 (647)
Spencer,IN,477.4,473.9 - 541.2 (647)
Archer,TX,477.4,473.9 - 541.2 (647)
Mineral,WV,477.4,473.9 - 541.2 (647)
Colonial Heights,VA,477.5,473.9 - 541.2 (647)
Hooker,NE,477.6,473.9 - 541.2 (647)
Montgomery,OH,477.6,473.9 - 541.2 (647)
Auglaize,OH,477.7,473.9 - 541.2 (647)
Grayson,TX,477.7,473.9 - 541.2 (647)
Dallas,MO,477.8,473.9 - 541.2 (647)
Wapello,IA,477.8,473.9 - 541.2 (647)
Lafayette,FL,477.8,473.9 - 541.2 (647)
Bethel,AK,477.9,473.9 - 541.2 (647)
Owen,IN,478.1,473.9 - 541.2 (647)
Clinton,IL,478.1,473.9 - 541.2 (647)
Lake,IN,478.2,473.9 - 541.2 (647)
Buffalo,SD,478.2,473.9 - 541.2 (647)
Caddo,LA,478.3,473.9 - 541.2 (647)
Knox,IN,478.5,473.9 - 541.2 (647)
St. Bernard,LA,478.5,473.9 - 541.2 (647)
Davidson,TN,478.5,473.9 - 541.2 (647)
Anderson,TN,478.5,473.9 - 541.2 (647)
Coryell,TX,478.5,473.9 - 541.2 (647)
Pulaski,VA,478.6,473.9 - 541.2 (647)
Crawford,IN,478.6,473.9 - 541.2 (647)
Crawford,IL,478.6,473.9 - 541.2 (647)
Pickens,GA,478.6,473.9 - 541.2 (647)
Levy,FL,478.8,473.9 - 541.2 (647)
Rolette,ND,478.8,473.9 - 541.2 (647)
Clay,TX,478.8,473.9 - 541.2 (647)
Edwards,IL,478.9,473.9 - 541.2 (647)
Stanislaus,CA,479,473.9 - 541.2 (647)
Harnett,NC,479.1,473.9 - 541.2 (647)
Fayette,TX,479.4,473.9 - 541.2 (647)
Hoke,NC,479.7,473.9 - 541.2 (647)
Otero,CO,479.9,473.9 - 541.2 (647)
Anderson,KS,480.4,473.9 - 541.2 (647)
Sussex,VA,480.4,473.9 - 541.2 (647)
Sumter,SC,480.5,473.9 - 541.2 (647)
Faulkner,AR,480.5,473.9 - 541.2 (647)
Missaukee,MI,480.8,473.9 - 541.2 (647)
Vance,NC,481,473.9 - 541.2 (647)
Wyandot,OH,481.1,473.9 - 541.2 (647)
Oktibbeha,MS,481.1,473.9 - 541.2 (647)
Lafayette,MO,481.3,473.9 - 541.2 (647)
Coshocton,OH,481.5,473.9 - 541.2 (647)
Van Buren,IA,481.6,473.9 - 541.2 (647)
Ste. Genevieve,MO,481.7,473.9 - 541.2 (647)
Alamosa,CO,481.8,473.9 - 541.2 (647)
Bay,FL,481.9,473.9 - 541.2 (647)
Madison,KY,482.1,473.9 - 541.2 (647)
Monroe,OH,482.1,473.9 - 541.2 (647)
Hamblen,TN,482.1,473.9 - 541.2 (647)
